Timestamp,Inference Step,CPU Usage (%),CPU Temp (°C)
2025-04-14 15:21:01,20,9.3,34.0
2025-04-14 15:21:06,40,7.2,35.0
2025-04-14 15:21:11,60,7.2,35.5
2025-04-14 15:21:16,80,8.3,36.0
2025-04-14 15:21:21,100,8.3,35.0
2025-04-14 15:21:26,120,6.1,35.0
2025-04-14 15:21:31,140,9.6,35.5
2025-04-14 15:21:36,160,9.6,35.0
2025-04-14 15:21:41,180,7.2,36.0
2025-04-14 15:21:46,200,8.4,35.5
2025-04-14 15:21:51,220,7.1,35.5
2025-04-14 15:21:56,240,12.2,35.0
