,timestamp_1,raw_current_1,raw_power_1,offset_current_1,offset_power_1,timestamp_2,raw_current_2,raw_power_2,offset_current_2,offset_power_2,timestamp_3,raw_current_3,raw_power_3,offset_current_3,offset_power_3
0,2025-02-21 11:10:59.540551,0.817770788,4.08885394,0.1429755959500001,0.7148779797500004,2025-02-21 11:11:21.330048,0.660968229,3.3048411449999997,-0.013826963049999974,-0.06913481524999987,2025-02-21 11:11:43.087326,0.787580294,3.93790147,0.11278510195000002,0.5639255097500001
1,2025-02-21 11:10:59.976878,0.81715313,4.08576565,0.14235793795000007,0.7117896897500003,2025-02-21 11:11:21.731621,0.683135521,3.415677605,0.008340328950000031,0.041701644750000155,2025-02-21 11:11:43.482141,0.786914608,3.93457304,0.11211941595000008,0.5605970797500004
2,2025-02-21 11:11:00.368567,0.816937684,4.08468842,0.14214249195000006,0.7107124597500003,2025-02-21 11:11:22.107861,0.708688275,3.543441375,0.03389308295000004,0.1694654147500002,2025-02-21 11:11:43.889231,0.782754048,3.9137702400000003,0.1079588559500001,0.5397942797500005
3,2025-02-21 11:11:00.771548,0.816808855,4.084044275,0.14201366295000006,0.7100683147500003,2025-02-21 11:11:22.541516,0.735001057,3.6750052849999997,0.06020586495000002,0.3010293247500001,2025-02-21 11:11:44.262719,0.779852621,3.8992631049999997,0.10505742895000003,0.5252871447500002
4,2025-02-21 11:11:01.183511,0.818148753,4.090743765,0.14335356095000007,0.7167678047500003,2025-02-21 11:11:22.940165,0.762019753,3.810098765,0.08722456095000009,0.4361228047500004,2025-02-21 11:11:44.695348,0.778340202,3.89170101,0.10354500995000004,0.5177250497500002
5,2025-02-21 11:11:01.557409,0.817207134,4.08603567,0.14241194195000006,0.7120597097500003,2025-02-21 11:11:23.330376,0.781991884,3.90995942,0.10719669195000003,0.5359834597500002,2025-02-21 11:11:45.107731,0.775954159,3.8797707949999998,0.10115896695000004,0.5057948347500002
6,2025-02-21 11:11:01.984774,0.817566506,4.08783253,0.1427713139500001,0.7138565697500004,2025-02-21 11:11:23.718512,0.797993662,3.98996831,0.12319846995000006,0.6159923497500003,2025-02-21 11:11:45.505177,0.772970885,3.864854425,0.09817569295000006,0.4908784647500003
7,2025-02-21 11:11:02.388170,0.816933304,4.08466652,0.14213811195000003,0.7106905597500002,2025-02-21 11:11:24.150623,0.810463081,4.052315405,0.13566788895000004,0.6783394447500002,2025-02-21 11:11:45.861933,0.770868134,3.85434067,0.09607294195000005,0.48036470975000023
8,2025-02-21 11:11:02.792002,0.814167429,4.0708371450000005,0.13937223695000012,0.6968611847500006,2025-02-21 11:11:24.554610,0.855618462,4.27809231,0.1808232699500001,0.9041163497500004,2025-02-21 11:11:46.300403,0.76869212,3.8434606,0.09389692795000004,0.4694846397500002
9,2025-02-21 11:11:03.171028,0.803923453,4.019617265,0.12912826095000007,0.6456413047500004,2025-02-21 11:11:24.955404,0.813567694,4.06783847,0.13877250195000002,0.6938625097500001,2025-02-21 11:11:46.706636,0.82472051,4.12360255,0.14992531795000008,0.7496265897500004
10,2025-02-21 11:11:03.595690,0.738969083,3.6948454149999996,0.06417389095000003,0.32086945475000017,2025-02-21 11:11:25.320634,0.768952724,3.84476362,0.0941575319500001,0.4707876597500005,2025-02-21 11:11:47.101067,0.814099322,4.07049661,0.13930412995000008,0.6965206497500004
11,2025-02-21 11:11:04.002108,0.680649732,3.40324866,0.0058545399500000705,0.029272699750000353,2025-02-21 11:11:25.755501,0.772417968,3.86208984,0.09762277595000002,0.4881138797500001,2025-02-21 11:11:47.509649,0.802945425,4.014727125,0.12815023295000005,0.6407511647500003
12,2025-02-21 11:11:04.410661,0.681625508,3.4081275399999997,0.006830315950000054,0.03415157975000027,2025-02-21 11:11:26.161970,0.773402466,3.8670123299999997,0.09860727395000002,0.4930363697500001,2025-02-21 11:11:47.890143,0.800027894,4.00013947,0.12523270195000002,0.6261635097500001
13,2025-02-21 11:11:04.807145,0.663639377,3.318196885,-0.011155815049999962,-0.05577907524999981,2025-02-21 11:11:26.558183,0.780659801,3.903299005,0.10586460895000005,0.5293230447500002,2025-02-21 11:11:48.317917,0.798344989,3.9917249449999996,0.12354979695000001,0.6177489847500001
14,2025-02-21 11:11:05.177606,0.663581156,3.3179057800000002,-0.011214036049999931,-0.05607018024999966,2025-02-21 11:11:26.966858,0.777665179,3.888325895,0.10286998695000005,0.5143499347500002,2025-02-21 11:11:48.719285,0.796493879,3.982469395,0.12169868695000008,0.6084934347500004
15,2025-02-21 11:11:05.615045,0.664352388,3.32176194,-0.010442804049999976,-0.05221402024999988,2025-02-21 11:11:27.363900,0.780405294,3.90202647,0.10561010195000009,0.5280505097500005,2025-02-21 11:11:49.127911,0.794294624,3.9714731199999997,0.11949943195000001,0.5974971597500001
16,2025-02-21 11:11:06.008887,0.663792309,3.3189615449999996,-0.011002883049999967,-0.05501441524999984,2025-02-21 11:11:27.773306,0.7816978,3.908489,0.10690260795000006,0.5345130397500003,2025-02-21 11:11:49.530951,0.806621521,4.033107605,0.13182632895000002,0.6591316447500001
17,2025-02-21 11:11:06.422221,0.666052234,3.33026117,-0.008742958049999916,-0.04371479024999958,2025-02-21 11:11:28.175190,0.786085439,3.930427195,0.11129024695000012,0.5564512347500006,2025-02-21 11:11:49.897988,0.818704252,4.09352126,0.14390905995000003,0.7195452997500001
